data,subj,face_dir,emo
0.00658249967555666,9,1,3
-0.00829056686170915,10,1,3
-0.0122180897695594,11,1,3
0.00234551117715869,12,1,3
-0.00445631119632829,13,1,3
0.00979351511638101,14,1,3
0.0428909427986683,15,1,3
-0.0220681192958693,16,1,3
0.0129426785523004,17,1,3
-0.00428983617231112,18,1,3
-0.00197210474876437,19,1,3
0.00855812726497349,20,1,3
-0.0103168226769044,21,1,3
0.00573678045958483,22,1,3
-0.0114596922199543,23,1,3
0.0179591251968043,24,1,3
0.0484713029197796,25,1,3
-0.00276319863446463,26,1,3
0.0293510717946006,27,1,3
0.00629839177052369,28,1,3
-0.0233258566395785,29,1,3
0.00196779243359316,30,1,3
-0.00546287566412781,31,1,3
0.0193296341253817,1,2,1
0.0621988839924426,2,2,1
0.0129634158010691,3,2,1
0.0414790806881405,4,2,1
0.0243313764518603,5,2,1
0.0393946977498067,6,2,1
0.102484658209238,7,2,1
-0.00331393898090469,8,2,1
0.0127596566473755,9,2,1
0.0251905321132802,10,2,1
0.0158568698077834,11,2,1
-0.00396511342926255,12,2,1
0.00971027551569409,13,2,1
0.0104223385062683,14,2,1
0.00149421575658783,15,2,1
0.0430747879677053,16,2,1
0.00264472481917195,17,2,1
-0.00919032977399045,18,2,1
0.0154316248878092,19,2,1
0.0422918265093177,20,2,1
0.0324522872240443,21,2,1
0.014960201222977,22,2,1
0.00527028650903073,23,2,1
0.00970476763018777,24,2,1
-0.0217518112856894,25,2,1
0.0521604151017521,26,2,1
0.0373854706146503,27,2,1
0.050548230028096,28,2,1
0.0174638214381244,29,2,1
0.0098560049589863,30,2,1
0.0400601462813942,31,2,1
0.0316006883376772,1,2,2
0.060237232633973,2,2,2
0.0636833702251836,3,2,2
0.00233172891676092,4,2,2
0.00523082273499629,5,2,2
0.0441615461803935,6,2,2
-0.00474329067490284,7,2,2
0.0766836853308059,8,2,2
0.0156498574688999,9,2,2
0.0031212648409333,10,2,2
0.045958715352685,11,2,2
0.0165497799216835,12,2,2
0.0621351146490925,13,2,2
0.0570739885006655,14,2,2
0.0509354410833811,15,2,2
0.00457534416565574,16,2,2
0.0332996415471555,17,2,2
0.0228219871115648,18,2,2
0.0345945600252084,19,2,2
0.0564157712873731,20,2,2
0.0756345073668128,21,2,2
0.0300521047397223,22,2,2
0.0740312066588819,23,2,2
-0.00663324067193142,24,2,2
