subject,pic_id,rating,question
17,17,2,happy
17,18,1,happy
17,19,1,happy
17,21,5,happy
17,22,4,happy
17,23,5,happy
17,24,5,happy
17,25,3,happy
17,26,5,happy
17,27,6,happy
17,28,1,happy
17,29,4,happy
17,31,9,happy
17,32,6,happy
17,33,8,happy
17,34,7,happy
17,35,7,happy
17,36,7,happy
17,37,9,happy
17,38,8,happy
17,39,9,happy
17,11,5,angry
17,12,9,angry
17,13,7,angry
17,14,8,angry
17,15,8,angry
17,16,9,angry
17,17,8,angry
17,18,9,angry
17,19,9,angry
17,21,2,angry
17,22,6,angry
17,23,3,angry
17,24,5,angry
17,25,3,angry
17,26,3,angry
17,27,1,angry
17,28,1,angry
17,29,2,angry
17,31,1,angry
17,32,2,angry
17,33,1,angry
17,34,3,angry
17,35,2,angry
17,36,1,angry
17,37,3,angry
17,38,1,angry
17,39,1,angry
9,11,1,happy
9,12,1,happy
9,13,1,happy
9,14,1,happy
9,15,1,happy
9,16,1,happy
9,17,1,happy
9,18,2,happy
9,19,1,happy
9,21,2,happy
9,22,5,happy
9,23,1,happy
9,24,1,happy
9,25,2,happy
9,26,4,happy
9,27,5,happy
9,28,2,happy
9,29,2,happy
9,31,7,happy
9,32,6,happy
9,33,9,happy
9,34,6,happy
9,35,7,happy
9,36,7,happy
9,37,7,happy
9,38,8,happy
9,39,7,happy
9,11,6,angry
9,12,8,angry
9,13,8,angry
9,14,9,angry
9,15,9,angry
9,16,5,angry
9,17,9,angry
9,18,6,angry
9,19,8,angry
9,21,5,angry
9,22,5,angry
9,23,1,angry
9,24,1,angry
9,25,3,angry
9,26,5,angry
9,27,5,angry
9,28,3,angry
9,29,4,angry
9,31,1,angry
9,32,1,angry
9,33,1,angry
9,34,1,angry
9,35,1,angry
9,36,1,angry
9,37,1,angry
9,38,1,angry
9,39,2,angry
22,11,1,happy
22,12,1,happy
22,13,1,happy
22,14,3,happy
22,15,1,happy
22,16,2,happy
22,17,1,happy
22,18,5,happy
22,19,1,happy
22,21,1,happy
22,22,2,happy
22,23,3,happy
22,24,3,happy
22,25,4,happy
22,26,5,happy
22,27,2,happy
22,28,2,happy
22,29,1,happy
22,31,2,happy
22,32,5,happy
22,33,3,happy
22,34,3,happy
22,35,9,happy
22,36,7,happy
22,37,8,happy
22,38,4,happy
22,39,8,happy
22,11,9,angry
22,12,9,angry
22,13,9,angry
22,14,6,angry
22,15,7,angry
22,16,8,angry
22,17,9,angry
22,18,5,angry
22,19,9,angry
22,21,4,angry
22,22,7,angry
22,23,5,angry
22,24,8,angry
22,25,6,angry
22,26,6,angry
22,27,8,angry
22,28,7,angry
22,29,8,angry
22,31,2,angry
22,32,3,angry
22,33,1,angry
22,34,1,angry
22,35,1,angry
22,36,2,angry
22,37,3,angry
22,38,1,angry
22,39,1,angry
18,11,2,happy
18,12,1,happy
18,13,1,happy
