subject,pic_id,rating,question
29,20,3,angry
29,1,2,happy
29,2,3,happy
29,3,7,happy
29,4,1,happy
29,5,1,happy
29,10,3,happy
29,15,7,happy
29,20,1,happy
29,1,6,disgusted
29,2,1,disgusted
29,3,1,disgusted
29,4,7,disgusted
29,5,3,disgusted
29,10,1,disgusted
29,15,1,disgusted
29,20,9,disgusted
31,1,8,angry
31,2,1,angry
31,3,1,angry
31,4,8,angry
31,5,9,angry
31,10,4,angry
31,15,1,angry
31,20,9,angry
31,1,1,happy
31,2,2,happy
31,3,8,happy
31,4,1,happy
31,5,1,happy
31,10,2,happy
31,15,5,happy
31,20,1,happy
31,1,5,disgusted
31,2,3,disgusted
31,3,1,disgusted
31,4,9,disgusted
31,5,7,disgusted
31,10,1,disgusted
31,15,3,disgusted
31,20,8,disgusted
28,1,8,angry
28,2,1,angry
28,3,1,angry
28,4,1,angry
28,5,8,angry
28,10,1,angry
28,15,1,angry
28,20,7,angry
28,1,1,happy
28,2,3,happy
28,3,9,happy
28,4,1,happy
28,5,1,happy
28,10,1,happy
28,15,9,happy
28,20,1,happy
28,1,1,disgusted
28,2,1,disgusted
28,3,1,disgusted
28,4,9,disgusted
28,5,1,disgusted
28,10,1,disgusted
28,15,1,disgusted
28,20,3,disgusted
9,1,7,angry
9,2,1,angry
9,3,1,angry
9,4,8,angry
9,5,9,angry
9,10,7,angry
9,15,1,angry
9,20,5,angry
9,1,1,happy
9,2,3,happy
9,3,9,happy
9,4,1,happy
9,5,1,happy
9,10,1,happy
9,15,9,happy
9,20,1,happy
9,1,6,disgusted
9,2,5,disgusted
9,3,1,disgusted
9,4,7,disgusted
9,5,1,disgusted
9,10,7,disgusted
9,15,1,disgusted
9,20,9,disgusted
22,1,9,angry
22,2,1,angry
22,3,1,angry
22,4,1,angry
22,5,9,angry
22,10,1,angry
22,15,1,angry
22,20,1,angry
22,1,1,happy
22,2,1,happy
22,3,9,happy
22,4,1,happy
22,5,1,happy
22,10,1,happy
22,15,9,happy
22,20,1,happy
22,1,1,disgusted
22,2,1,disgusted
22,3,1,disgusted
22,4,9,disgusted
22,5,1,disgusted
22,10,1,disgusted
22,15,1,disgusted
22,20,9,disgusted
18,1,8,angry
18,2,1,angry
18,3,1,angry
18,4,4,angry
18,5,9,angry
18,10,3,angry
18,15,1,angry
18,20,5,angry
18,1,1,happy
18,2,1,happy
18,3,9,happy
18,4,2,happy
18,5,1,happy
18,10,2,happy
18,15,9,happy
18,20,1,happy
18,1,1,disgusted
18,2,3,disgusted
18,3,8,disgusted
18,4,1,disgusted
18,5,1,disgusted
18,10,1,disgusted
18,15,8,disgusted
18,20,2,disgusted
2,1,6,angry
2,2,5,angry
2,3,1,angry
2,4,5,angry
2,5,7,angry
2,10,6,angry
2,15,1,angry
2,20,7,angry
2,1,2,happy
2,2,5,happy
2,3,8,happy
2,4,5,happy
2,5,1,happy
2,10,4,happy
2,15,9,happy
2,20,1,happy
2,1,5,disgusted
2,2,5,disgusted
2,3,1,disgusted
2,4,9,disgusted
2,5,6,disgusted
2,10,5,disgusted
2,15,1,disgusted
2,20,9,disgusted
20,1,5,angry
20,2,1,angry
20,3,1,angry
20,4,3,angry
20,5,9,angry
20,10,4,angry
20,15,1,angry
20,20,3,angry
20,1,2,happy
20,2,5,happy
20,3,9,happy
20,4,1,happy
20,5,1,happy
20,10,2,happy
20,15,9,happy
20,20,1,happy
20,1,3,disgusted
20,2,1,disgusted
20,3,1,disgusted
20,4,8,disgusted
20,5,4,disgusted
20,10,4,disgusted
20,15,1,disgusted
20,20,9,disgusted
