cond,rt,subjects
n_up_m,394.0,30
i_up_m,590.0,30
a_dw_m,672.0,30
n_dw_m,547.0,30
i_dw_m,nan,30
a_up_f,580.0,31
n_up_f,624.0,31
i_up_f,335.0,31
a_dw_f,369.0,31
n_dw_f,404.0,31
i_dw_f,nan,31
a_up_m,545.0,31
n_up_m,616.0,31
i_up_m,nan,31
a_dw_m,654.0,31
n_dw_m,574.0,31
i_dw_m,nan,31
