experiment,participant,orientation,regularity,variability,condition,RTs
pilot2,8,upright,angry,low,upright_angry_low,552
pilot2,8,upright,neutral,low,upright_neutral_low,633
pilot2,8,upright,irregular,low,upright_irregular_low,531
pilot2,8,inverted,angry,low,inverted_angry_low,552
pilot2,8,inverted,neutral,low,inverted_neutral_low,535.5
pilot2,8,inverted,irregular,low,inverted_irregular_low,563.5
pilot2,8,upright,angry,high,upright_angry_high,502
pilot2,8,upright,neutral,high,upright_neutral_high,632
pilot2,8,upright,irregular,high,upright_irregular_high,468.5
pilot2,8,inverted,angry,high,inverted_angry_high,585
pilot2,8,inverted,neutral,high,inverted_neutral_high,668
pilot2,8,inverted,irregular,high,inverted_irregular_high,573.5
pilot2,9,upright,angry,low,upright_angry_low,535
pilot2,9,upright,neutral,low,upright_neutral_low,536
pilot2,9,upright,irregular,low,upright_irregular_low,576.5
pilot2,9,inverted,angry,low,inverted_angry_low,513
pilot2,9,inverted,neutral,low,inverted_neutral_low,467.5
pilot2,9,inverted,irregular,low,inverted_irregular_low,561.5
pilot2,9,upright,angry,high,upright_angry_high,535
pilot2,9,upright,neutral,high,upright_neutral_high,643.5
pilot2,9,upright,irregular,high,upright_irregular_high,468
pilot2,9,inverted,angry,high,inverted_angry_high,488
pilot2,9,inverted,neutral,high,inverted_neutral_high,485
pilot2,9,inverted,irregular,high,inverted_irregular_high,746
pilot2,10,upright,angry,low,upright_angry_low,500.5
pilot2,10,upright,neutral,low,upright_neutral_low,554
pilot2,10,upright,irregular,low,upright_irregular_low,506
pilot2,10,inverted,angry,low,inverted_angry_low,585.5
pilot2,10,inverted,neutral,low,inverted_neutral_low,553.5
pilot2,10,inverted,irregular,low,inverted_irregular_low,696
pilot2,10,upright,angry,high,upright_angry_high,529
pilot2,10,upright,neutral,high,upright_neutral_high,592.5
pilot2,10,upright,irregular,high,upright_irregular_high,381
pilot2,10,inverted,angry,high,inverted_angry_high,532.5
pilot2,10,inverted,neutral,high,inverted_neutral_high,596
pilot2,10,inverted,irregular,high,inverted_irregular_high,485
pilot2,11,upright,angry,low,upright_angry_low,527
pilot2,11,upright,neutral,low,upright_neutral_low,531.5
pilot2,11,upright,irregular,low,upright_irregular_low,487
pilot2,11,inverted,angry,low,inverted_angry_low,584
pilot2,11,inverted,neutral,low,inverted_neutral_low,451
pilot2,11,inverted,irregular,low,inverted_irregular_low,756.5
pilot2,11,upright,angry,high,upright_angry_high,612
pilot2,11,upright,neutral,high,upright_neutral_high,522
pilot2,11,upright,irregular,high,upright_irregular_high,560.5
